text,label
"this movie was fantastic and fun",1
"i loved the story and the characters",1
"the acting was great and the ending was beautiful",1
"what a wonderful and exciting film",1
"this was a smart and emotional story",1
"the product works perfectly and feels premium",1
"i am very happy with this purchase",1
"the app is fast useful and easy to use",1
"the food was fresh and delicious",1
"the service was friendly and quick",1
"this book is inspiring and clear",1
"i enjoyed every chapter of the book",1
"the design is clean and comfortable",1
"this lesson was helpful and simple",1
"the model improved after training",1
"the results are accurate and impressive",1
"this game is creative and relaxing",1
"the headphones sound rich and balanced",1
"the camera quality is sharp and bright",1
"the interface is smooth and intuitive",1
"the movie was boring and slow",0
"i hated the story and the characters",0
"the acting was bad and the ending was awful",0
"what a dull and confusing film",0
"this was a weak and messy story",0
"the product broke quickly and feels cheap",0
"i am very unhappy with this purchase",0
"the app is slow useless and hard to use",0
"the food was cold and disappointing",0
"the service was rude and slow",0
"this book is confusing and unclear",0
"i disliked every chapter of the book",0
"the design is ugly and uncomfortable",0
"this lesson was unhelpful and complicated",0
"the model failed after training",0
"the results are wrong and disappointing",0
"this game is frustrating and boring",0
"the headphones sound thin and harsh",0
"the camera quality is blurry and dark",0
"the interface is laggy and confusing",0
"absolutely loved this helpful product",1
"really enjoyed the clean design",1
"the experience felt polished and reliable",1
"a brilliant simple useful tool",1
"happy with the fast support",1
"absolutely hated this broken product",0
"really disliked the messy design",0
"the experience felt buggy and unreliable",0
"a terrible confusing useless tool",0
"unhappy with the slow support",0
